GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avlTree,org.uma.ajnebro,AvlNode,0,158,1,25,0,40,1,32,0,20
avlTree,org.uma.ajnebro,AvlTree,16,609,6,79,5,192,7,64,1,27
